Cohort ,SHL Case #,Spawning_date,Mother,Father,"Separate crosses within cohort (F = female, M=male)",,,,
2001 F1's,SF08-26,4/23/01,"895, 119, 1193(?)",4229,"F895xM4229, F119xM4229",,,,
2003 F1's,,2003,"1118, 895, 1193",4229,"F1118 x (F895xM4229, F1193xM4229)",,,,
UCSB 2012,SF12-55,6/14/12,"Pink_014, Pink_030",Green_043,"FPink_014xMGreen_043, FPink_030xMGreen_043",,,,
AOP 2013,SF13-32,3/2/13,"581, 19","024, 033","F581xM024, F581xM033, F19xM033",,,,
UCSB/SC 2013,SF13-43,4/4/13,"Pink_047, Pink_014, Pink_024, Pink_038","Green_023, Pink_188, 'No TaGreen_'","FPink_047xMGreen_023, FPink_014xMPink_188, FPink_024xM'no taGreen_', FPink_014xM'no taGreen_', FPink_038xM'no taGreen_', FPink_047xM'no taGreen_'",,,,
UCSB/SC 2014,SF14-65,4/30/14,Pink_024,Pink_206,FPink_024xMPink_206,,,,
AOP 2014,SF14-66,5/13/14,581,033,F581xM033,,,,
UCSB/SC 2015,SF15-69,4/8/15,"Pink_014, Pink_024",Pink_206,"FPink_014xM206, FPink_024xMPink_206",,,,
BML 2015,SF15-76,3/4/15,"Green_364, Green_328, Green_323, Green_306","Green_309, Green_371, Green_390","FGreen_364xMGreen_390, FGreen_364xMGreen_309, FGreen_328xMGreen_371, FGreen_328xMGreen_309, FGreen_323xMGreen_309, FGreen_306xMGreen_390, FGreen_306xMGreen_309",,,,
AOP 2015,SF15-77,5/6/15,"581, 579","033, 037","F581xM033, F579xM037, F579xM033",,,,
AOP 2016,,7/13/16,"579, 581",040,"579x040, 581x040",,,,
BML 2016,SF16-9A,3/2/16,Green_306,"Green_309, Green_371, Green_313","FGreen_306x(Pooled sperm from MGreen_309, MGreen_371 & MGreen_313)",,,,
BML 2016,SF16-9B,3/2/16,"Green_364, Green_323","Green_309, Green_371, Green_313","FGreen_364x(Pooled sperm from MGreen_309, MGreen_371 & MGreen_313), FGreen_323x(Pooled sperm from MGreen_309, MGreen_371 & MGreen_313)",,,,
BML 2016,SF16-9C,3/2/16,Green_328,"Green_309, Green_371, Green_313","FGreen_328x(Pooled sperm from MGreen_309, MGreen_371 & MGreen_313)",,,,
BML 2016,SF16-9D,3/2/16,Green_343,"Green_309, Green_371, Green_313","FGreen_343x(Pooled sperm from MGreen_309, MGreen_371 & MGreen_313)",,,,
BML 2016,SF16-9E,3/2/16,Green_397,"Green_309, Green_371, Green_313","FGreen_397x(Pooled sperm from MGreen_309, MGreen_371 & MGreen_313)",,,,
BML 2016,SF16-9F,3/2/16,"Green_306, Green_364, Green_323, Green_328, Green_343, Green_397","Green_309, Green_371, Green_313","(each female)x(Pooled sperm from MGreen_309, MGreen_371 & MGreen_313)",,,,
BML 2016,SF16-9FR,3/2/16,"Green_306, Green_364, Green_323, Green_328, Green_343, Green_397","Green_309, Green_371, Green_313","(each female)x(Pooled sperm from MGreen_309, MGreen_371 & MGreen_313)",,,,
BML 2017,SF17-63A,3/1/17,Green_312,"Green_309, Green_313",FGreen_312x(Pooled sperm from MGreen_309 & MGreen_313),,,,
BML 2017,SF17-63B,3/1/17,Green_397,"Green_309, Green_371",FGreen_397x(Pooled sperm from MGreen_309 & MGreen_371),,,,
BML 2017,SF17-63C,3/1/17,Green_310,"Green_309, Green_371",FGreen_310x(Pooled sperm from MGreen_309 & MGreen_371),,,,
BML 2017,SF17-63NIS,3/1/17,"Green_310, Green_397, Green_343, Green_328, Green_364","Green_309, Green_371",(each female)x(Pooled sperm from MGreen_309 & MGreen_371),,,,
BML 2018,SF18-40A,4/19/18,Green_364,"Green_309, Green_371",FGreen_364x(Pooled sperm from MGreen_309 & MGreen_371),,,,
BML 2018,SF18-40B,4/19/18,Green_343,"Green_309, Green_371",FGreen_343x(Pooled sperm from MGreen_309 & MGreen_371),,,,
BML 2018,SF18-40MIX,4/19/18,"Green_328. Green_397, Green_310","Green_309, Green_371",(each female)x(Pooled sperm from MGreen_309 & MGreen_371),,,,
BML 2018,SF18-40NIS,4/19/18,"Green_328, Green_397, Green_310, Green_343, Green_364","Green_309, Green_371",(each female)x(Pooled sperm from MGreen_309 & MGreen_371),,,,
BML 2019 (Feb),TBD,2/28/19,"Green_364,  Green_397","Green_309, Green_313","FGreen_364x(Pooled sperm from MGreen_309 & MGreen_313), FGreen_397x(Pooled sperm from MGreen_309 & MGreen_313)",,,,
BML 2019 (April),TBD,4/16/19,Green_312,"Green_309, Green_371",FGreen_312x(Pooled sperm from MGreen_309 & MGreen_313),,,,
BML 2019 (April),TBD,4/16/19,Green_312 ,Yellow_121,FGreen_312xMYellow_121,,,,
BML 2019 (April),TBD,4/16/19,Green_425,"Green_309, Green_371",FGreen_425x(Pooled sperm from MGreen_309 & MGreen_371),,,,
