Measurement_date,SHL_case_number,Spawning_date,Tag,From_Growout_Rack,From_Growout_Column,From_Growout_Trough,To_Growout_Rack,To_Growout_Column,To_Growout_Trough,Length,Gonad_Score,Predicted_Sex,Notes
6/17/18,SF16-9A,3/2/16,Lav_067,3,A,1,1,A,2,50.1,1,M,
6/17/18,SF16-9A,3/2/16,Lav_005,3,A,1,1,A,2,39.8,1,M,
6/17/18,SF16-9A,3/2/16,Lav_046,3,A,1,1,A,2,30.1,0,,
6/17/18,SF16-9A,3/2/16,Lav_083,3,A,1,1,A,2,47.5,1,M,
6/17/18,SF16-9A,3/2/16,Lav_081,3,A,1,1,A,2,45.7,1,M,
6/17/18,SF16-9A,3/2/16,Lav_024,3,A,1,1,A,2,46.9,1,M,
6/17/18,SF16-9A,3/2/16,Lav_040,3,A,1,1,A,2,48.9,1,F,
6/17/18,SF16-9A,3/2/16,Lav_097,3,A,1,1,A,2,48.2,1,M,
6/17/18,SF16-9A,3/2/16,Lav_008,3,A,1,1,A,2,34.5,0,,
6/17/18,SF16-9A,3/2/16,Lav_082,3,A,1,1,A,2,34.9,1,M,
6/17/18,SF16-9A,3/2/16,Lav_044,3,A,1,1,A,2,36.4,1,F,
6/17/18,SF16-9A,3/2/16,Lav_059,3,A,1,1,A,2,31.6,1,M,
6/17/18,SF16-9A,3/2/16,Lav_056,3,A,1,1,A,2,37.3,1,F,
6/17/18,SF16-9A,3/2/16,Lav_004,3,A,1,1,A,2,36.9,1,M,
6/17/18,SF16-9A,3/2/16,Lav_038,3,A,1,1,A,2,40.5,0,,
6/17/18,SF16-9A,3/2/16,Lav_021,3,A,1,1,A,2,48.2,1,F,
6/17/18,SF16-9A,3/2/16,Lav_094,3,A,1,1,A,2,28.9,0,,
6/17/18,SF16-9A,3/2/16,Lav_022,3,A,1,1,A,2,44.0,1,M,
6/17/18,SF16-9A,3/2/16,Lav_031,3,A,1,1,A,2,44.6,1,M,
6/17/18,SF16-9A,3/2/16,Lav_076,3,A,1,1,A,2,23.8,0,,
6/17/18,SF16-9A,3/2/16,Lav_074,3,A,1,1,A,2,23.8,0,,
6/17/18,SF16-9A,3/2/16,Lav_051,3,A,1,1,A,2,21.2,0,,
6/17/18,SF16-9A,3/2/16,Lav_025,3,A,1,1,A,2,60.7,1,F,
