Measurement_date,SHL_case_number,Spawning_date,Tag,From_Growout_Rack,From_Growout_Column,From_Growout_Trough,To_Growout_Rack,To_Growout_Column,To_Growout_Trough,Length,Gonad_Score,Predicted_Sex,Notes
3/17/18,SF16-9A,3/2/16,Lav_067,3,A,1,1,A,2,42.9,1,M,
3/17/18,SF16-9A,3/2/16,Lav_005,3,A,1,1,A,2,32.6,1,M,
3/17/18,SF16-9A,3/2/16,Lav_046,3,A,1,1,A,2,26.6,0,,
3/17/18,SF16-9A,3/2/16,Lav_083,3,A,1,1,A,2,37.9,1,M,
3/17/18,SF16-9A,3/2/16,Lav_081,3,A,1,1,A,2,35.9,1,M,
3/17/18,SF16-9A,3/2/16,Lav_024,3,A,1,1,A,2,39.3,1,M,
3/17/18,SF16-9A,3/2/16,Lav_040,3,A,1,1,A,2,44.8,1,F,
3/17/18,SF16-9A,3/2/16,Lav_097,3,A,1,1,A,2,46.4,1,M,
3/17/18,SF16-9A,3/2/16,Lav_008,3,A,1,1,A,2,25.3,0,,
3/17/18,SF16-9A,3/2/16,Lav_082,3,A,1,1,A,2,26.7,1,M,
3/17/18,SF16-9A,3/2/16,Lav_044,3,A,1,1,A,2,27.6,1,F,
3/17/18,SF16-9A,3/2/16,Lav_059,3,A,1,1,A,2,27.4,1,M,
3/17/18,SF16-9A,3/2/16,Lav_056,3,A,1,1,A,2,28.1,1,F,
3/17/18,SF16-9A,3/2/16,Lav_004,3,A,1,1,A,2,34.0,1,M,
3/17/18,SF16-9A,3/2/16,Lav_038,3,A,1,1,A,2,39.1,0,,
3/17/18,SF16-9A,3/2/16,Lav_021,3,A,1,1,A,2,36.7,1,F,
3/17/18,SF16-9A,3/2/16,Lav_094,3,A,1,1,A,2,23.4,0,,
3/17/18,SF16-9A,3/2/16,Lav_022,3,A,1,1,A,2,38.4,1,M,
3/17/18,SF16-9A,3/2/16,Lav_031,3,A,1,1,A,2,35.6,1,M,
3/17/18,SF16-9A,3/2/16,Lav_076,3,A,1,1,A,2,20.9,0,,
3/17/18,SF16-9A,3/2/16,Lav_074,3,A,1,1,A,2,18.0,0,,
3/17/18,SF16-9A,3/2/16,Lav_051,3,A,1,1,A,2,20.1,0,,
3/17/18,SF16-9A,3/2/16,Lav_025,3,A,1,1,A,2,47.3,1,F,
3/17/18,SF16-9A,3/2/16,Lav_028,3,A,1,1,A,2,35.6,1,M,
3/17/18,SF16-9A,3/2/16,Lav_057,3,A,1,1,A,2,30.2,1,M,
3/17/18,SF16-9A,3/2/16,Lav_029,3,A,1,1,A,2,33.4,1,F,
3/17/18,SF16-9A,3/2/16,Lav_078,3,A,1,1,A,2,28.3,1,F,
3/17/18,SF16-9A,3/2/16,Lav_052,3,A,1,1,A,2,41.4,1,M,
3/17/18,SF16-9A,3/2/16,Lav_060,3,A,1,1,A,2,26.0,1,F,
3/17/18,SF16-9A,3/2/16,Lav_066,3,A,1,1,A,2,36.4,1,M,
3/17/18,SF16-9A,3/2/16,Lav_023,3,A,1,1,A,2,50.6,0,,
3/17/18,SF16-9A,3/2/16,Lav_045,3,A,1,1,A,2,28.7,1,F,
3/17/18,SF16-9A,3/2/16,Lav_073,3,A,1,1,A,2,22.8,1,M,
3/17/18,SF16-9A,3/2/16,Lav_007,3,A,1,1,A,2,31.2,1,M,
3/17/18,SF16-9A,3/2/16,Lav_047,3,A,1,1,A,2,38.5,1,F,Foot cut on removal
3/17/18,SF16-9A,3/2/16,Lav_041,3,A,1,1,A,2,19.9,1,M,
3/17/18,SF16-9A,3/2/16,Lav_069,3,A,1,1,A,2,43.3,1,F,
3/17/18,SF16-9A,3/2/16,Lav_013,3,A,1,1,A,2,51.9,,,
3/17/18,SF16-9A,3/2/16,Lav_089,3,A,1,1,A,2,36.4,1,F,
3/17/18,SF16-9A,3/2/16,Lav_062,3,A,1,1,A,2,42.6,1,F,
3/17/18,SF16-9A,3/2/16,Lav_050,3,A,1,1,A,2,49.2,1,F,
3/17/18,SF16-9A,3/2/16,Lav_026,3,A,1,1,A,2,34.2,1,M,
3/17/18,SF16-9A,3/2/16,Lav_030,3,A,1,1,A,2,46.7,1,F,
3/17/18,SF16-9A,3/2/16,Lav_090,3,A,1,1,A,2,46.5,1,F,
3/17/18,SF16-9A,3/2/16,Lav_092,3,A,1,1,A,2,37.8,1,M,
3/17/18,SF16-9A,3/2/16,Lav_053,3,A,1,1,A,2,44.4,1,M,
3/17/18,SF16-9A,3/2/16,Lav_068,3,A,1,1,A,2,19.3,0,,
3/17/18,SF16-9A,3/2/16,Lav_000,3,A,1,1,A,2,21.7,0,,
3/17/18,SF16-9A,3/2/16,Lav_011,3,A,1,1,A,2,28.7,0,,
3/17/18,SF16-9A,3/2/16,Lav_084,3,A,2,1,A,2,37.1,1,M,
3/17/18,SF16-9A,3/2/16,Lav_098,3,A,2,1,A,2,27.3,0,,
3/17/18,SF16-9A,3/2/16,Lav_055,3,A,2,1,A,2,40.7,0,,
3/17/18,SF16-9A,3/2/16,Lav_071,3,A,2,1,A,2,34.0,1,M,
3/17/18,SF16-9A,3/2/16,Lav_015,3,A,2,1,A,2,35.5,1,M,
3/17/18,SF16-9A,3/2/16,Lav_086,3,A,2,1,A,2,34.3,1,F,
3/17/18,SF16-9A,3/2/16,Lav_061,3,A,2,1,A,2,41.9,1,M,
3/17/18,SF16-9A,3/2/16,Lav_096,3,A,2,1,A,2,27.9,0,,
3/17/18,SF16-9A,3/2/16,Lav_054,3,A,2,1,A,2,24.5,1,M,* I think this one was both male and female
3/17/18,SF16-9A,3/2/16,Lav_070,3,A,2,1,A,2,29.3,1,F,
3/17/18,SF16-9A,3/2/16,Lav_002,3,A,2,1,A,2,37.1,0,,
3/17/18,SF16-9A,3/2/16,Lav_077,3,A,2,1,A,2,52.2,1,M,
3/17/18,SF16-9A,3/2/16,Lav_079,3,A,2,1,A,2,30.8,0,,Cut on foot
3/17/18,SF16-9A,3/2/16,Lav_027,3,A,2,1,A,2,37.0,1,M,
3/17/18,SF16-9A,3/2/16,Lav_014,3,A,2,1,A,2,26.9,0,,
3/17/18,SF16-9A,3/2/16,Lav_039,3,A,2,1,A,2,25.7,0,,
3/17/18,SF16-9A,3/2/16,Lav_075,3,A,2,1,A,2,32.5,1,M,
3/17/18,SF16-9A,3/2/16,Lav_006,3,A,2,1,A,2,30.7,1,M,
3/17/18,SF16-9A,3/2/16,Lav_058,3,A,2,1,A,2,35.7,1,M,
3/17/18,SF16-9A,3/2/16,Lav_087,3,A,2,1,A,2,30.2,1,M,
3/17/18,SF16-9A,3/2/16,Lav_010,3,A,2,1,A,2,32.7,1,M,
3/17/18,SF16-9A,3/2/16,Lav_032,3,A,2,1,A,2,28.7,1,M,
3/17/18,SF16-9A,3/2/16,Lav_003,3,A,2,1,A,2,34.9,1,M,
3/17/18,SF16-9A,3/2/16,Lav_019,3,A,2,1,A,2,24.9,1,F,
3/17/18,SF16-9A,3/2/16,Lav_035,3,A,2,1,A,2,32.2,2,M,
3/17/18,SF16-9A,3/2/16,Lav_017,3,A,2,1,A,2,36.4,0,,
3/17/18,SF16-9A,3/2/16,Lav_018,3,A,2,1,A,2,28.3,1,M,
3/17/18,SF16-9A,3/2/16,Lav_020,3,A,2,1,A,2,23.2,0,,
3/17/18,SF16-9A,3/2/16,Lav_091,3,A,2,1,A,2,29.7,1,F,
3/17/18,SF16-9A,3/2/16,Lav_072,3,A,2,1,A,2,54.3,1,M,
3/17/18,SF16-9A,3/2/16,Lav_043,3,A,2,1,A,2,27.4,0,,
3/17/18,SF16-9A,3/2/16,Lav_095,3,A,2,1,A,2,35.1,1,F,
3/17/18,SF16-9A,3/2/16,Lav_048,3,A,2,1,A,2,43.5,1,M,
3/17/18,SF16-9A,3/2/16,Lav_009,3,A,2,1,A,2,21.7,0,,
3/17/18,SF16-9A,3/2/16,Lav_033,3,A,2,1,A,2,34.6,0,,
3/17/18,SF16-9A,3/2/16,Lav_085,3,A,2,1,A,2,24.5,0,,
3/17/18,SF16-9A,3/2/16,Lav_063,3,A,2,1,A,2,24.7,0,,
3/17/18,SF16-9A,3/2/16,Lav_034,3,A,2,1,A,2,38.5,1,F,
3/17/18,SF16-9A,3/2/16,Lav_042,3,A,2,1,A,2,44.0,2,M,
3/17/18,SF16-9A,3/2/16,Lav_001,3,A,2,1,A,2,42.5,1,M,
3/17/18,SF16-9A,3/2/16,Lav_065,3,A,2,1,A,2,26.8,0,,
3/17/18,SF16-9A,3/2/16,Lav_064,3,A,2,1,A,2,31.2,1,M,
3/18/18,SF16-9A,3/2/16,Lav_049,3,A,2,1,A,2,24.0,1,F,
3/18/18,SF16-9A,3/2/16,Lav_016,3,A,2,1,A,2,36.0,1,F,
3/18/18,SF16-9A,3/2/16,Lav_099,3,A,2,1,A,2,30.4,1,F,
3/18/18,SF16-9A,3/2/16,Lav_080,3,A,2,1,A,2,31.4,1,F,
3/18/18,SF16-9A,3/2/16,Lav_088,3,A,2,1,A,2,33.7,1,M,
3/18/18,SF16-9A,3/2/16,Lav_036,3,A,2,1,A,2,30.6,1,M,
3/18/18,SF16-9A,3/2/16,Lav_093,3,A,2,1,A,2,35.8,0,,
3/18/18,SF16-9A,3/2/16,Lav_012,3,A,2,1,A,2,39.1,1,M,
3/18/18,SF16-9A,3/2/16,Lav_037,3,A,2,1,A,2,31.2,1,F,
3/18/18,SF16-9B,3/2/16,Lav_101,3,A,3,1,A,2,47.8,1,F,
3/18/18,SF16-9B,3/2/16,Lav_135,3,A,3,1,A,2,36.0,1,M,
3/18/18,SF16-9B,3/2/16,Lav_196,3,A,3,1,A,2,40.8,1,M,
3/18/18,SF16-9B,3/2/16,Lav_127,3,A,3,1,A,2,31.6,0,,
3/18/18,SF16-9B,3/2/16,Lav_131,3,A,3,1,A,2,45.6,1,F,
3/18/18,SF16-9B,3/2/16,Lav_156,3,A,3,1,A,2,34.6,0,,
3/18/18,SF16-9B,3/2/16,Lav_182,3,A,3,1,A,2,26.1,1,M,"gut coming out of tissue, shrunken 1"
3/18/18,SF16-9B,3/2/16,Lav_183,3,A,3,1,A,2,33.1,1,M,
3/18/18,SF16-9B,3/2/16,Lav_169,3,A,3,1,A,2,36.5,1,M,
3/18/18,SF16-9B,3/2/16,Lav_120,3,A,3,1,A,2,45.4,1,M,
3/18/18,SF16-9B,3/2/16,Lav_100,3,A,3,1,A,2,36.6,1,F,
3/18/18,SF16-9B,3/2/16,Lav_110,3,A,3,1,A,2,29.5,1,F,
3/18/18,SF16-9B,3/2/16,Lav_178,3,A,3,1,A,2,45.1,1,F,
3/18/18,SF16-9B,3/2/16,Lav_164,3,A,3,1,A,2,46.0,1,F,
3/18/18,SF16-9B,3/2/16,Lav_134,3,A,3,1,A,2,35.2,1,M,
3/18/18,SF16-9B,3/2/16,Lav_158,3,A,3,1,A,2,27.8,1,M,
3/18/18,SF16-9B,3/2/16,Lav_143,3,A,3,1,A,2,41.9,1,M,
3/18/18,SF16-9B,3/2/16,Lav_161,3,A,3,1,A,2,33.0,1,F,
3/18/18,SF16-9B,3/2/16,Lav_162,3,A,3,1,A,2,38.2,1,M,
3/18/18,SF16-9B,3/2/16,Lav_157,3,A,3,1,A,2,28.0,1,F,
3/18/18,SF16-9B,3/2/16,Lav_165,3,A,3,1,A,2,38.4,1,F,
3/19/18,SF16-9C,3/2/16,Lav_189,3,A,4,1,A,2,34.4,1,F,
3/19/18,SF16-9C,3/2/16,Lav_160,3,A,4,1,A,2,58.6,1,F,
3/19/18,SF16-9C,3/2/16,Lav_175,3,A,4,1,A,2,44.7,1,F,
3/19/18,SF16-9C,3/2/16,Lav_173,3,A,4,1,A,2,37.8,1,M,
3/19/18,SF16-9C,3/2/16,Lav_138,3,A,4,1,A,2,37.2,1,F,
3/19/18,SF16-9C,3/2/16,Lav_179,3,A,4,1,A,2,37.7,1,M,
3/19/18,SF16-9C,3/2/16,Lav_130,3,A,4,1,A,2,29.6,1,F,
3/19/18,SF16-9C,3/2/16,Lav_155,3,A,4,1,A,2,36.7,1,M,
